"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_pp","periodo"
1389,"05740004-8","CARMEN DE LAS ROSAS",-33.76,-71.1575,171,13,"Metropolitana de Santiago",135,"Melipilla",13501,"Melipilla",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5740,"Rio Maipo Entre Rio Mapocho y Estero Puangue",1,"C",95.1833382223526,"1990-2024"
1166,"05704004-1","SAN GABRIEL",-33.7825,-70.23944444,1259,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",57,"Rio Maipo",570,"Rio Maipo Alto",5704,"Rio Maipo entre Rio Volcan y Rio Colorado",1,"C",95.1207587757896,"1990-2024"
901,"05111002-1","FRUTILLAR ALTO",-32.14944444,-70.99805556,901,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",511,"Petorca Medio",5111,"Estero Las Palmas",1,"C",95.0347120367654,"1990-2024"
950,"05310001-5","LAGUNA DE ZAPALLAR",-32.62388889,-71.4075,15,5,"Valparaíso",54,"Petorca",5405,"Zapallar",53,"Costeras Ligua-Aconcagua",531,"Estero Catapilco",5310,"Estero Catapilco",1,"C",94.7452820964115,"1990-2024"
3972,"330054","Central_los_morros_DMC",-33.64778,-70.65667,602,13,"Metropolitana de Santiago",134,"Maipo",13401,"San Bernardo",57,"Rio Maipo",571,"Rio Maipo Medio",5712,"Rio Maipo Entre Rio Clarillo y Estero Angostura",2,"C",94.7452820964115,"1990-2024"
1094,"05510001-2","RODELILLO",-33.05055556,-71.58416667,175,5,"Valparaíso",51,"Valparaíso",5101,"Valparaíso",55,"Costeras entre Aconcagua y Maipo",551,"Lago Peñuelas",5510,"Lago Penuelas",1,"C",94.5184316026205,"1990-2024"
3838,"320012","La_ligua_esval_DMC",-32.44805,-71.23,57,5,"Valparaíso",54,"Petorca",5401,"La Ligua",52,"Rio Ligua",522,"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)",5221,"Rio Ligua Entre Estero La Patagua y Desembocadura",2,"C",94.3385156937518,"1990-2024"
881,"05100005-6","EL TRAPICHE",-32.22916667,-70.7375,1012,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",510,"Rio Petorca Alto (hasta despues Junta Rio Sobrante)",5100,"Rio Sobrante",1,"C",94.3228708321111,"1990-2024"
1411,"05744003-1","IBACACHE ALTO",-33.48055556,-71.28138889,181,13,"Metropolitana de Santiago",135,"Melipilla",13504,"María Pinto",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5744,"Estero Puangue Entre Estero Sin Nombre y Bajo Junta Estero Amestica",1,"C",94.2681138163684,"1990-2024"
904,"05120003-9","ARTIFICIO",-32.39861111,-71.09555556,242,5,"Valparaíso",54,"Petorca",5402,"Cabildo",51,"Rio Petorca",512,"Rio Petorca Bajo (Entre Las Palmas y Desembocadura)",5120,"Rio Petorca Entre Estero Las Palmas y Desembocadura",1,"C",94.2368240930869,"1990-2024"
1043,"05425003-7","LO ROJAS",-32.81361111,-71.25055556,191,5,"Valparaíso",55,"Quillota",5504,"La Cruz",54,"Rio Aconcagua",542,"Aconcagua Bajo",5425,"Rio Aconcagua Entre Estero El Cobre y Bajo Quebrada El Ajo",1,"C",94.2290016622666,"1990-2024"
902,"05111004-8","EL SALVADOR",-32.30638889,-71.07722222,343,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",511,"Petorca Medio",5111,"Estero Las Palmas",1,"C",93.9708614451941,"1990-2024"
900,"05111001-3","PALQUICO",-32.25277778,-71.13861111,459,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",511,"Petorca Medio",5111,"Estero Las Palmas",1,"C",93.7753006746847,"1990-2024"
1572,"06018010-5","MILLAHUE",-34.52444444,-71.20694444,215,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6117,"San Vicente",60,"Rio Rapel",601,"Cachapoal Bajo",6018,"Estero Zamorano Entre Estero Rigolemu y Rio Cachapoal",1,"C",93.720543658942,"1990-2024"
1011,"05421005-1","CATEMU",-32.75805556,-70.9425,452,5,"Valparaíso",57,"San Felipe de Aconcagua",5702,"Catemu",54,"Rio Aconcagua",542,"Aconcagua Bajo",5421,"Estero Catemu",1,"C",93.5640950425345,"1990-2024"
1320,"05733007-4","CALEU",-33.00555556,-70.99361111,1133,13,"Metropolitana de Santiago",133,"Chacabuco",13303,"Tiltil",57,"Rio Maipo",573,"Mapocho Bajo",5733,"Estero Tiltil",1,"C",93.2355529480786,"1990-2024"
4124,"340032","Graneros_mostazal_DMC",-34.06583,-70.74167,477,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6106,"Graneros",60,"Rio Rapel",601,"Cachapoal Bajo",6011,"Estero Las Cadenas",2,"C",93.0478146083896,"1990-2024"
882,"05100006-4","EL SOBRANTE HACIENDA",-32.22944444,-70.79472222,803,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",510,"Rio Petorca Alto (hasta despues Junta Rio Sobrante)",5100,"Rio Sobrante",1,"C",92.9774127310062,"1990-2024"
888,"05101005-1","PEDERNAL HACIENDA",-32.09277778,-70.79888889,1024,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",510,"Rio Petorca Alto (hasta despues Junta Rio Sobrante)",5101,"Rio Pedernal",1,"C",92.766207098856,"1990-2024"
924,"05210002-K","LA VIÑA",-32.43222222,-70.91194444,378,5,"Valparaíso",54,"Petorca",5402,"Cabildo",52,"Rio Ligua",521,"Rio Ligua Medio (entre Quebrada La Cerrada y Los Angeles)",5210,"Rio Ligua ante Quebrada La Cerrada y Estero Los Angeles",1,"C",92.3125061112741,"1990-2024"
1709,"06130001-5","EL MEMBRILLO",-34.80861111,-71.6125,114,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6304,"Lolol",61,"Costeras Rapel-E.Nilahue",613,"Estero Nilahue",6130,"Estero Nilahue Hasta Junta Estero Lolol",1,"C",92.3125061112741,"1990-2024"
1014,"05422002-2","LAS CHILCAS",-32.86611111,-70.84833333,634,5,"Valparaíso",57,"San Felipe de Aconcagua",5703,"Llaillay",54,"Rio Aconcagua",542,"Aconcagua Bajo",5422,"Estero Los Loros",1,"C",92.3046836804537,"1990-2024"
1512,"06012003-K","COLTAUCO",-34.2875,-71.08,266,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6104,"Coltauco",60,"Rio Rapel",601,"Cachapoal Bajo",6012,"Rio Cachapoal Entre Estero Las Cadenas y Rio Claro (de Rengo)",1,"C",92.3046836804537,"1990-2024"
1668,"06044001-8","COCALAN",-34.20666667,-71.27888889,132,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6107,"Las Cabras",60,"Rio Rapel",604,"Estero Alhue",6044,"Estero Las Palmas",1,"C",92.2733939571722,"1990-2024"
934,"05211004-1","LAS PUERTAS",-32.48694444,-70.9325,338,5,"Valparaíso",54,"Petorca",5402,"Cabildo",52,"Rio Ligua",521,"Rio Ligua Medio (entre Quebrada La Cerrada y Los Angeles)",5211,"Estero Los Angeles",1,"C",92.2655715263518,"1990-2024"
4127,"340035","Lolol_hacienda_DMC",-34.71083,-71.59556,115,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6304,"Lolol",61,"Costeras Rapel-E.Nilahue",613,"Estero Nilahue",6131,"Estero Lolol",2,"C",92.1169453407646,"1990-2024"
1404,"05741002-7","COLLIGUAY",-33.16861111,-71.14638889,503,5,"Valparaíso",58,"Marga Marga",5801,"Quilpué",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5741,"Estero Puangue Antes Estero Caren",1,"C",92.0465434633812,"1990-2024"
993,"05414005-3","EL TARTARO",-32.56833333,-70.69888889,944,5,"Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",54,"Rio Aconcagua",541,"Aconcagua Medio",5414,"Rio Putaendo Entre Estero Chalaco y Rio Aconcagua",1,"C",91.8744499853329,"1990-2024"
1369,"05737008-4","FUNDO MARRUECOS",-33.55527778,-70.8225,442,13,"Metropolitana de Santiago",136,"Talagante",13604,"Padre Hurtado",57,"Rio Maipo",573,"Mapocho Bajo",5737,"Rio Mapocho entre Zanjon de la Aguada y Rio Maipo",1,"C",91.6867116456439,"1990-2024"
1076,"05427008-9","QUEBRADA ALVARADO",-33.05055556,-71.11472222,259,5,"Valparaíso",58,"Marga Marga",5803,"Olmué",54,"Rio Aconcagua",542,"Aconcagua Bajo",5427,"Estero Limache",1,"C",91.5928424757994,"1990-2024"
1645,"06036001-4","LA CANDELARIA",-34.78083333,-71.41416667,224,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6302,"Chépica",60,"Rio Rapel",603,"Tinguiririca Bajo",6036,"Estero Calleuque (de las Toscas) Hasta Bajo Junta Esteros Lima y del Zapal",1,"C",91.4442162902122,"1990-2024"
889,"05101006-K","CHALACO",-32.17888889,-70.7875,883,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",510,"Rio Petorca Alto (hasta despues Junta Rio Sobrante)",5101,"Rio Pedernal",1,"C",91.2486555197028,"1990-2024"
938,"05220007-5","LAS PATAGUAS",-32.5375,-71.13527778,289,5,"Valparaíso",54,"Petorca",5401,"La Ligua",52,"Rio Ligua",522,"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)",5220,"Rio Ligua Entre Estero Los Angeles y Bajo Estero La Patagua",1,"C",91.1234966265767,"1990-2024"
992,"05414004-5","RESGUARDO LOS PATOS",-32.50138889,-70.58166667,1195,5,"Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",54,"Rio Aconcagua",541,"Aconcagua Medio",5413,"Rio Putaendo Entre Rio Hidalgo y Bajo Junta Estero Chalaco",1,"C",90.8731788403246,"1990-2024"
1460,"05800002-7","FUNDO LAS DOS PUERTAS",-33.86138889,-71.66305556,50,5,"Valparaíso",56,"San Antonio",5606,"Santo Domingo",58,"Costeras entre  Maipo y Rapel",580,"Estero Yali",5800,"Estero Yali",1,"C",90.7714872396597,"1990-2024"
1236,"05716005-5","LAGUNA ACULEO",-33.88583333,-70.8775,379,13,"Metropolitana de Santiago",134,"Maipo",13404,"Paine",57,"Rio Maipo",571,"Rio Maipo Medio",5716,"Estero Angostura Entre Estero Paine (II) y Rio Maipo",1,"C",90.6541507773541,"1990-2024"
999,"05415004-0","JAHUEL",-32.68722222,-70.59638889,1081,5,"Valparaíso",57,"San Felipe de Aconcagua",5706,"Santa María",54,"Rio Aconcagua",541,"Aconcagua Medio",5415,"Estero Quilpue",1,"C",90.4116554219224,"1990-2024"
1322,"05733010-4","FUNDO LAS BATEAS",-32.9475,-70.80666667,808,13,"Metropolitana de Santiago",133,"Chacabuco",13303,"Tiltil",57,"Rio Maipo",573,"Mapocho Bajo",5733,"Estero Tiltil",1,"C",90.3803656986409,"1990-2024"
1020,"05423013-3","ESTERO RABUCO",-32.85361111,-71.12055556,296,5,"Valparaíso",55,"Quillota",5503,"Hijuelas",54,"Rio Aconcagua",542,"Aconcagua Bajo",5423,"Rio Aconcagua Entre Estero Los Loros y Estero El Cobre",1,"C",90.2082722205925,"1990-2024"
1319,"05733006-6","RINCON DE LOS VALLES",-32.9475,-70.75333333,973,13,"Metropolitana de Santiago",133,"Chacabuco",13303,"Tiltil",57,"Rio Maipo",573,"Mapocho Bajo",5733,"Estero Tiltil",1,"C",90.1613376356703,"1990-2024"
1430,"05745001-0","MALLARAUCO",-33.57166667,-71.10166667,184,13,"Metropolitana de Santiago",135,"Melipilla",13501,"Melipilla",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5745,"Estero Puangue Entre Estero Amestica y Bajo Junta Estero de los Mayos",1,"C",90.1300479123888,"1990-2024"
1544,"06015003-6","RENGO",-34.38166667,-70.84527778,337,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6115,"Rengo",60,"Rio Rapel",601,"Cachapoal Bajo",6013,"Rio Claro hasta Estero Tipaume",1,"C",89.699814217268,"1990-2024"
1034,"05424005-8","EL COBRE",-32.65305556,-71.19638889,284,5,"Valparaíso",55,"Quillota",5506,"Nogales",54,"Rio Aconcagua",542,"Aconcagua Bajo",5424,"Estero El Cobre",1,"C",89.2539356605065,"1990-2024"
1661,"06042004-1","BARRERA LONCHA",-34.07833333,-71.19527778,150,13,"Metropolitana de Santiago",135,"Melipilla",13502,"Alhué",60,"Rio Rapel",604,"Estero Alhue",6042,"Estero Caren",1,"C",88.6907206414393,"1990-2024"
1659,"06040001-6","VILLA ALHUE",-34.035,-71.09416667,205,13,"Metropolitana de Santiago",135,"Melipilla",13502,"Alhué",60,"Rio Rapel",604,"Estero Alhue",6040,"Estero Alhue hasta Estero de Piche",1,"C",88.456047716828,"1990-2024"
1101,"05520002-5","TAPIHUE",-33.29083333,-71.28944444,313,5,"Valparaíso",51,"Valparaíso",5102,"Casablanca",55,"Costeras entre Aconcagua y Maipo",552,"E. Casablanca y E.  San Jeronimo (Incl.)",5520,"Costeras entre Estero Casablanca y Estero San Jeronimo (Incl.)",1,"C",88.1275056223722,"1990-2024"
3999,"330088","Olmue_DMC",-33.02194,-71.18639,153,5,"Valparaíso",58,"Marga Marga",5803,"Olmué",54,"Rio Aconcagua",542,"Aconcagua Bajo",5427,"Estero Limache",2,"C",87.9319448518627,"1990-2024"
4103,"340011","San_jose_de_marchigue_DMC",-34.29083,-71.44472,119,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6113,"Pichidegua",60,"Rio Rapel",605,"Rio Rapel",6053,"Embalse Central Rapel hasta Estero Alhue",2,"C",87.1262344773638,"1990-2024"
3850,"320024","Curimon_escuela_agricola_DMC",-32.78444,-70.68778,708,5,"Valparaíso",57,"San Felipe de Aconcagua",5701,"San Felipe",54,"Rio Aconcagua",541,"Aconcagua Medio",5410,"Rio Aconcagua entre Rio Colorado y Rio Putaendo",2,"C",87.0792998924416,"1990-2024"
3995,"330082","Villa_alhue_DMC",-34.06389,-71.25194,135,13,"Metropolitana de Santiago",135,"Melipilla",13502,"Alhué",60,"Rio Rapel",604,"Estero Alhue",6043,"Estero Alhue Entre Estero Caren y Estero Las Palmas (Embalse Rapel)",2,"C",85.7260193605163,"1990-2024"
905,"05120004-7","LAS COLMENAS",-32.31027778,-71.25861111,82,5,"Valparaíso",54,"Petorca",5401,"La Ligua",51,"Rio Petorca",512,"Rio Petorca Bajo (Entre Las Palmas y Desembocadura)",5120,"Rio Petorca Entre Estero Las Palmas y Desembocadura",1,"C",85.1471594798084,"1990-2024"
1186,"05707003-K","MAITENES",-33.53111111,-70.26194444,1153,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",57,"Rio Maipo",570,"Rio Maipo Alto",5707,"Rio Colorado entre Rio Olivares y Rio Maipo",1,"C",84.3414491053095,"1990-2024"
3864,"320039","El_cobre_fundo_sta_maria_pullally_DMC",-32.43667,-71.35361,21,5,"Valparaíso",54,"Petorca",5403,"Papudo",52,"Rio Ligua",522,"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)",5221,"Rio Ligua Entre Estero La Patagua y Desembocadura",2,"C",83.0820377432287,"1990-2024"
4001,"330090","Casablanca_casas_del_bosque_DMC",-33.31861,-71.43555,263,5,"Valparaíso",51,"Valparaíso",5102,"Casablanca",55,"Costeras entre Aconcagua y Maipo",552,"E. Casablanca y E.  San Jeronimo (Incl.)",5520,"Costeras entre Estero Casablanca y Estero San Jeronimo (Incl.)",2,"C",81.9947198591962,"1990-2024"
1091,"05500001-8","LAS PIEDRAS",-33.15555556,-71.31194444,219,5,"Valparaíso",58,"Marga Marga",5801,"Quilpué",55,"Costeras entre Aconcagua y Maipo",550,"E. Marga-Marga",5500,"Estero Marga-Marga",1,"C",81.5879534565366,"1990-2024"
4139,"340050","Quinta_de_tilcoco_DMC",-34.35778,-70.96722,290,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6114,"Quinta de Tilcoco",60,"Rio Rapel",601,"Cachapoal Bajo",6015,"Rio Claro Entre Estero Tipaume y Rio Cachapoal",2,"C",79.9452429842574,"1990-2024"
3988,"330071","Talagante_DMC",-33.67028,-70.84944,401,13,"Metropolitana de Santiago",136,"Talagante",13601,"Talagante",57,"Rio Maipo",571,"Rio Maipo Medio",5717,"Rio Maipo Entre Estero Angostura y Rio Mapocho",2,"C",79.1786447638604,"1990-2024"
3854,"320028","La_cruz_inia_DMC",-32.82805,-71.22667,177,5,"Valparaíso",55,"Quillota",5504,"La Cruz",54,"Rio Aconcagua",542,"Aconcagua Bajo",5425,"Rio Aconcagua Entre Estero El Cobre y Bajo Quebrada El Ajo",2,"C",78.8970372543268,"1990-2024"
3964,"330046","Chacra_soloa_DMC",-33.63833,-70.76389,504,13,"Metropolitana de Santiago",134,"Maipo",13403,"Calera de Tango",57,"Rio Maipo",571,"Rio Maipo Medio",5712,"Rio Maipo Entre Rio Clarillo y Estero Angostura",2,"C",78.7953456536619,"1990-2024"
1190,"05710007-9","LA OBRA RECINTO EMOS",-33.59138889,-70.48527778,800,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",57,"Rio Maipo",571,"Rio Maipo Medio",5710,"Rio Maipo Entre Estero Colorado y Rio Clarillo",1,"C",78.6858316221766,"1990-2024"
3836,"320010","La_vega_fundo_DMC",-32.42055,-71.03944,233,5,"Valparaíso",54,"Petorca",5402,"Cabildo",52,"Rio Ligua",522,"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)",5220,"Rio Ligua Entre Estero Los Angeles y Bajo Estero La Patagua",2,"C",77.8410090935758,"1990-2024"
3925,"330005","Quilpue_esval_DMC",-33.05639,-71.46028,199,5,"Valparaíso",58,"Marga Marga",5801,"Quilpué",55,"Costeras entre Aconcagua y Maipo",550,"E. Marga-Marga",5500,"Estero Marga-Marga",2,"C",76.871027671849,"1990-2024"
4137,"340048","Quimavida_DMC",-34.215,-70.99694,321,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6104,"Coltauco",60,"Rio Rapel",601,"Cachapoal Bajo",6012,"Rio Cachapoal Entre Estero Las Cadenas y Rio Claro (de Rengo)",2,"C",76.1200743130928,"1990-2024"
4096,"340004","Machali_DMC",-34.17583,-70.65889,555,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6108,"Machalí",60,"Rio Rapel",601,"Cachapoal Bajo",6011,"Estero Las Cadenas",2,"C",75.6585508946905,"1990-2024"
3989,"330072","Pirque_fdf_ex_raco_DMC",-33.67833,-70.58361,666,13,"Metropolitana de Santiago",132,"Cordillera",13202,"Pirque",57,"Rio Maipo",571,"Rio Maipo Medio",5711,"Rio Clarillo",2,"C",74.6963919037841,"1990-2024"
971,"05410002-7","RIO ACONCAGUA EN CHACABUQUITO",-32.85055556,-70.50944444,946,5,"Valparaíso",53,"Los Andes",5304,"San Esteban",54,"Rio Aconcagua",541,"Aconcagua Medio",5410,"Rio Aconcagua entre Rio Colorado y Rio Putaendo",1,"C",73.8828590984648,"1990-2024"
1321,"05733008-2","RUNGUE EMBALSE",-33.02,-70.90805556,704,13,"Metropolitana de Santiago",133,"Chacabuco",13303,"Tiltil",57,"Rio Maipo",573,"Mapocho Bajo",5733,"Estero Tiltil",1,"C",73.8593918060037,"1990-2024"
1603,"06028001-0","RIO TINGUIRIRICA BAJO LOS BRIONES",-34.71833333,-70.82638889,565,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6301,"San Fernando",60,"Rio Rapel",602,"Rio Tinguiririca Alto (Hasta bajo junta Rio Claro)",6028,"Rio Tinguiririca Entre Rio Clarillo y Bajo Junta Rio Claro",1,"C",73.8202796519018,"1990-2024"
1267,"05722002-3","RIO MAPOCHO EN LOS ALMENDROS",-33.37055556,-70.45111111,977,13,"Metropolitana de Santiago",131,"Santiago",13115,"Lo Barnechea",57,"Rio Maipo",572,"R.  Mapocho Alto",5722,"Rio Mapocho Entre Rio San Francisco y Bajo Junta Estero Arrayan",1,"C",71.8646719468075,"1990-2024"
3870,"320045","Llay_llay_las_pennas_DMC",-32.88139,-70.91305,429,5,"Valparaíso",57,"San Felipe de Aconcagua",5703,"Llaillay",54,"Rio Aconcagua",542,"Aconcagua Bajo",5422,"Estero Los Loros",2,"C",70.1593820279652,"1990-2024"
